"MERITVE";"SKUPINE";"LETO";Indeksi cen življenjskih potrebšèin in letne stopnje rasti cen
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2004";5.8
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2005";3.9
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2006";3.7
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2007";6.5
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2008";3.2
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2009";6.7
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2010";7.2
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2011";5.7
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2012";6.5
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2013";7.0
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2014";3.6
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2015";1.9
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2016";0.3
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2017";2.2
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2018";1.8
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2019";1.0
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2020";1.7
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2021";3.2
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2000";6.9
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2001";1.9
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2002";3.3
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2003";6.3
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2004";1.7
"Povpreène letne stopnje rasti cen (%)";"03 Oblaèila in obutev";"2005";-1.0
